UNITID,EFCSTATE,LINE,XEFRES01,EFRES01,XEFRES02,EFRES02 
100654, 1,  1,"R",806,"R",630
100654, 4,  4,"R",4,"R",4
100654, 5,  5,"R",7,"R",6
100654, 6,  6,"R",29,"R",23
100654, 8,  8,"R",3,"R",2
100654, 9,  9,"R",1,"R",1
100654,10, 10,"R",1,"R",0
100654,11, 11,"R",7,"R",6
100654,12, 12,"R",91,"R",63
100654,13, 13,"R",156,"R",112
100654,17, 17,"R",100,"R",73
100654,18, 18,"R",25,"R",21
100654,19, 19,"R",2,"R",2
100654,21, 21,"R",11,"R",10
100654,22, 22,"R",6,"R",5
100654,24, 24,"R",15,"R",12
100654,26, 26,"R",52,"R",41
100654,27, 27,"R",5,"R",5
100654,28, 28,"R",14,"R",9
100654,29, 29,"R",21,"R",13
100654,34, 34,"R",4,"R",3
100654,36, 36,"R",1,"R",1
100654,37, 37,"R",10,"R",4
100654,39, 39,"R",44,"R",30
100654,40, 40,"R",3,"R",2
100654,42, 42,"R",1,"R",0
100654,45, 45,"R",3,"R",3
100654,47, 47,"R",67,"R",57
100654,48, 48,"R",9,"R",8
100654,51, 51,"R",5,"R",3
100654,53, 53,"R",1,"R",0
100654,55, 55,"R",2,"R",0
100654,57, 57,"R",29,"R",18
100654,58,999,"R",1535,"R",1167
100654,99, 99,"R",1535,"R",1167
100663, 1,  1,"R",1763,"R",1738
100663, 2,  2,"R",1,"R",1
100663, 5,  5,"R",2,"R",2
100663, 6,  6,"R",5,"R",5
100663, 8,  8,"R",1,"R",1
100663, 9,  9,"R",2,"R",2
100663,12, 12,"R",22,"R",22
100663,13, 13,"R",131,"R",131
100663,15, 15,"R",2,"R",2
100663,17, 17,"R",16,"R",16
100663,18, 18,"R",2,"R",2
100663,19, 19,"R",4,"R",4
100663,20, 20,"R",4,"R",4
100663,21, 21,"R",4,"R",4
100663,22, 22,"R",17,"R",17
100663,24, 24,"R",3,"R",3
100663,26, 26,"R",3,"R",3
100663,27, 27,"R",1,"R",1
100663,28, 28,"R",24,"R",24
100663,29, 29,"R",4,"R",4
100663,31, 31,"R",1,"R",1
100663,36, 36,"R",2,"R",2
100663,37, 37,"R",8,"R",8
100663,39, 39,"R",1,"R",1
100663,42, 42,"R",1,"R",1
100663,45, 45,"R",4,"R",4
100663,46, 46,"R",1,"R",1
100663,47, 47,"R",56,"R",55
100663,48, 48,"R",22,"R",21
100663,49, 49,"R",1,"R",1
100663,51, 51,"R",6,"R",6
100663,53, 53,"R",3,"R",3
100663,55, 55,"R",6,"R",6
100663,57, 57,"R",2,"R",2
100663,58,999,"R",2125,"R",2098
100663,90, 90,"R",29,"R",26
100663,99, 99,"R",2154,"R",2124
100706, 1,  1,"R",884,"R",832
100706, 4,  4,"R",2,"R",0
100706, 5,  5,"R",6,"R",6
100706, 6,  6,"R",7,"R",7
100706, 8,  8,"R",3,"R",2
100706,12, 12,"R",8,"R",8
100706,13, 13,"R",35,"R",33
100706,15, 15,"R",1,"R",0
100706,16, 16,"R",1,"R",1
100706,17, 17,"R",31,"R",30
100706,18, 18,"R",1,"R",1
100706,20, 20,"R",2,"R",2
100706,21, 21,"R",37,"R",37
100706,22, 22,"R",6,"R",5
100706,24, 24,"R",3,"R",3
100706,25, 25,"R",2,"R",1
100706,26, 26,"R",4,"R",3
100706,27, 27,"R",5,"R",5
100706,28, 28,"R",15,"R",14
100706,29, 29,"R",5,"R",5
100706,32, 32,"R",1,"R",1
100706,33, 33,"R",1,"R",1
100706,34, 34,"R",3,"R",3
100706,36, 36,"R",1,"R",1
100706,37, 37,"R",13,"R",13
100706,38, 38,"R",1,"R",1
100706,39, 39,"R",7,"R",7
100706,41, 41,"R",1,"R",1
100706,42, 42,"R",7,"R",5
100706,45, 45,"R",13,"R",13
100706,46, 46,"R",1,"R",0
100706,47, 47,"R",180,"R",177
100706,48, 48,"R",19,"R",18
100706,49, 49,"R",1,"R",1
100706,51, 51,"R",11,"R",11
100706,53, 53,"R",1,"R",0
100706,54, 54,"R",2,"R",2
100706,55, 55,"R",4,"R",4
100706,57, 57,"R",4,"R",3
100706,58,999,"R",1329,"R",1257
100706,90, 90,"R",15,"R",2
100706,98, 98,"R",1,"A",
100706,99, 99,"R",1345,"R",1259
100724, 1,  1,"R",524,"R",506
100724, 4,  4,"R",1,"R",1
100724, 5,  5,"R",6,"R",6
100724, 6,  6,"R",21,"R",21
100724, 9,  9,"R",1,"R",1
100724,11, 11,"R",6,"R",6
100724,12, 12,"R",83,"R",81
100724,13, 13,"R",131,"R",131
100724,17, 17,"R",20,"R",20
100724,18, 18,"R",6,"R",6
100724,21, 21,"R",2,"R",2
100724,22, 22,"R",15,"R",15
100724,23, 23,"R",1,"R",1
100724,24, 24,"R",16,"R",16
100724,26, 26,"R",23,"R",23
100724,27, 27,"R",1,"R",1
100724,28, 28,"R",15,"R",15
100724,29, 29,"R",6,"R",6
100724,32, 32,"R",3,"R",3
100724,34, 34,"R",2,"R",2
100724,36, 36,"R",4,"R",4
100724,37, 37,"R",4,"R",4
100724,39, 39,"R",19,"R",19
100724,40, 40,"R",4,"R",4
100724,42, 42,"R",2,"R",2
100724,45, 45,"R",6,"R",6
100724,47, 47,"R",9,"R",9
100724,48, 48,"R",12,"R",12
100724,51, 51,"R",5,"R",5
100724,53, 53,"R",1,"R",1
100724,58,999,"R",949,"R",929
100724,72, 72,"R",2,"R",2
100724,89,999,"R",2,"R",2
100724,90, 90,"R",14,"R",8
100724,98, 98,"R",10,"A",
100724,99, 99,"R",975,"R",939
100751, 1,  1,"R",2701,"R",2683
100751, 2,  2,"R",2,"R",2
100751, 4,  4,"R",36,"R",36
100751, 5,  5,"R",27,"R",26
100751, 6,  6,"R",167,"R",166
100751, 8,  8,"R",57,"R",57
100751, 9,  9,"R",55,"R",55
100751,10, 10,"R",17,"R",17
100751,11, 11,"R",2,"R",2
100751,12, 12,"R",236,"R",236
100751,13, 13,"R",475,"R",475
100751,15, 15,"R",4,"R",4
100751,16, 16,"R",4,"R",4
100751,17, 17,"R",351,"R",350
100751,18, 18,"R",47,"R",47
100751,19, 19,"R",9,"R",9
100751,20, 20,"R",13,"R",13
100751,21, 21,"R",91,"R",90
100751,22, 22,"R",109,"R",109
100751,23, 23,"R",4,"R",4
100751,24, 24,"R",98,"R",98
100751,25, 25,"R",78,"R",78
100751,26, 26,"R",66,"R",66
100751,27, 27,"R",19,"R",19
100751,28, 28,"R",70,"R",69
100751,29, 29,"R",73,"R",73
100751,31, 31,"R",8,"R",8
100751,32, 32,"R",11,"R",11
100751,33, 33,"R",9,"R",9
100751,34, 34,"R",184,"R",184
100751,35, 35,"R",1,"R",1
100751,36, 36,"R",151,"R",151
100751,37, 37,"R",134,"R",134
100751,39, 39,"R",109,"R",109
100751,40, 40,"R",10,"R",10
100751,41, 41,"R",8,"R",8
100751,42, 42,"R",148,"R",148
100751,44, 44,"R",14,"R",14
100751,45, 45,"R",46,"R",45
100751,46, 46,"R",2,"R",2
100751,47, 47,"R",316,"R",315
100751,48, 48,"R",279,"R",278
100751,49, 49,"R",6,"R",6
100751,50, 50,"R",4,"R",4
100751,51, 51,"R",126,"R",126
100751,53, 53,"R",19,"R",19
100751,54, 54,"R",8,"R",8
100751,55, 55,"R",58,"R",58
100751,57, 57,"R",10,"R",10
100751,58,999,"R",6472,"R",6446
100751,72, 72,"R",1,"R",1
100751,89,999,"R",1,"R",1
100751,90, 90,"R",34,"R",34
100751,99, 99,"R",6507,"R",6481
100760, 1,  1,"R",266,"R",197
100760,13, 13,"R",4,"R",3
100760,21, 21,"R",1,"R",1
100760,55, 55,"R",1,"R",1
100760,58,999,"R",272,"R",202
100760,98, 98,"R",6,"A",
100760,99, 99,"R",278,"R",202
100830, 1,  1,"R",626,"R",535
100830, 9,  9,"R",1,"R",0
100830,12, 12,"R",9,"R",7
100830,13, 13,"R",7,"R",5
100830,17, 17,"R",1,"R",1
100830,21, 21,"R",2,"R",2
100830,22, 22,"R",2,"R",1
100830,24, 24,"R",1,"R",0
100830,25, 25,"R",1,"R",0
100830,28, 28,"R",3,"R",3
100830,37, 37,"R",2,"R",2
100830,39, 39,"R",2,"R",1
100830,42, 42,"R",2,"R",2
100830,57, 57,"R",1,"R",1
100830,58,999,"R",660,"R",560
100830,90, 90,"R",14,"R",3
100830,99, 99,"R",674,"R",563
100858, 1,  1,"R",2634,"R",2598
100858, 2,  2,"R",1,"R",1
100858, 4,  4,"R",8,"R",7
100858, 5,  5,"R",14,"R",14
100858, 6,  6,"R",54,"R",54
100858, 8,  8,"R",30,"R",29
100858, 9,  9,"R",22,"R",22
100858,10, 10,"R",9,"R",9
100858,11, 11,"R",2,"R",2
100858,12, 12,"R",224,"R",222
100858,13, 13,"R",760,"R",754
100858,16, 16,"R",1,"R",1
100858,17, 17,"R",71,"R",70
100858,18, 18,"R",9,"R",9
100858,19, 19,"R",1,"R",1
100858,20, 20,"R",5,"R",5
100858,21, 21,"R",50,"R",50
100858,22, 22,"R",38,"R",37
100858,23, 23,"R",1,"R",1
100858,24, 24,"R",46,"R",45
100858,25, 25,"R",24,"R",24
100858,26, 26,"R",12,"R",12
100858,27, 27,"R",6,"R",6
100858,28, 28,"R",11,"R",11
100858,29, 29,"R",14,"R",14
100858,30, 30,"R",2,"R",2
100858,31, 31,"R",2,"R",2
100858,32, 32,"R",2,"R",2
100858,33, 33,"R",5,"R",5
100858,34, 34,"R",57,"R",57
100858,36, 36,"R",29,"R",29
100858,37, 37,"R",118,"R",118
100858,38, 38,"R",1,"R",1
100858,39, 39,"R",26,"R",26
100858,40, 40,"R",8,"R",8
100858,41, 41,"R",1,"R",1
100858,42, 42,"R",39,"R",39
100858,44, 44,"R",2,"R",2
100858,45, 45,"R",46,"R",45
100858,47, 47,"R",186,"R",184
100858,48, 48,"R",210,"R",209
100858,49, 49,"R",1,"R",1
100858,50, 50,"R",1,"R",1
100858,51, 51,"R",86,"R",86
100858,53, 53,"R",6,"R",6
100858,54, 54,"R",3,"R",3
100858,55, 55,"R",12,"R",12
100858,56, 56,"R",1,"R",1
100858,57, 57,"R",1,"Z",0
100858,58,999,"R",4892,"R",4838
100858,72, 72,"R",1,"R",1
100858,89,999,"R",1,"R",1
100858,90, 90,"R",1,"R",1
100858,98, 98,"R",20,"A",
100858,99, 99,"R",4914,"R",4840
100937, 1,  1,"R",156,"R",153
100937,12, 12,"R",16,"R",15
100937,13, 13,"R",35,"R",34
100937,17, 17,"R",2,"R",2
100937,21, 21,"R",1,"R",1
100937,22, 22,"R",4,"R",4
100937,28, 28,"R",6,"R",5
100937,34, 34,"R",1,"R",1
100937,36, 36,"R",1,"R",1
100937,37, 37,"R",1,"R",1
100937,45, 45,"R",1,"R",1
100937,47, 47,"R",26,"R",26
100937,48, 48,"R",4,"R",4
100937,51, 51,"R",1,"R",1
100937,57, 57,"R",1,"Z",0
100937,58,999,"R",256,"R",249
100937,99, 99,"R",256,"R",249
101028, 1,  1,"R",204,"R",142
101028,12, 12,"R",3,"R",1
101028,13, 13,"R",51,"R",26
101028,21, 21,"R",1,"R",1
101028,37, 37,"R",1,"R",1
101028,48, 48,"R",1,"Z",0
101028,58,999,"R",261,"R",171
101028,98, 98,"R",2,"A",
101028,99, 99,"R",263,"R",171
101116, 1,  1,"R",10,"Z",0
101116,58,999,"R",10,"Z",0
101116,99, 99,"R",10,"Z",0
101143, 1,  1,"R",384,"R",260
101143,12, 12,"R",8,"R",6
101143,13, 13,"R",4,"R",3
101143,24, 24,"R",1,"Z",0
101143,37, 37,"R",1,"R",1
101143,42, 42,"R",1,"R",1
101143,48, 48,"R",1,"R",1
101143,53, 53,"R",1,"Z",0
101143,58,999,"R",401,"R",272
101143,98, 98,"R",3,"A",
101143,99, 99,"R",404,"R",272
101161, 1,  1,"R",1245,"R",794
101161, 2,  2,"R",1,"Z",0
101161,12, 12,"R",53,"R",33
101161,13, 13,"R",10,"R",6
101161,17, 17,"R",1,"Z",0
101161,18, 18,"R",1,"R",1
101161,19, 19,"R",1,"R",1
101161,21, 21,"R",2,"R",2
101161,22, 22,"R",11,"R",7
101161,26, 26,"R",1,"R",1
101161,28, 28,"R",9,"R",6
101161,29, 29,"R",1,"R",1
101161,39, 39,"R",1,"Z",0
101161,40, 40,"R",1,"R",1
101161,47, 47,"R",1,"Z",0
101161,48, 48,"R",2,"R",1
101161,51, 51,"R",1,"R",1
101161,53, 53,"R",2,"Z",0
101161,58,999,"R",1344,"R",855
101161,98, 98,"R",23,"A",
101161,99, 99,"R",1367,"R",855
101189, 1,  1,"R",212,"R",187
101189, 5,  5,"R",1,"R",1
101189, 8,  8,"R",2,"R",2
101189,12, 12,"R",19,"R",19
101189,13, 13,"R",24,"R",21
101189,21, 21,"R",1,"R",1
101189,25, 25,"R",1,"R",0
101189,28, 28,"R",6,"R",6
101189,45, 45,"R",1,"R",1
101189,47, 47,"R",7,"R",7
101189,48, 48,"R",5,"R",5
101189,55, 55,"R",1,"R",1
101189,58,999,"R",280,"R",251
101189,90, 90,"R",8,"R",8
101189,99, 99,"R",288,"R",259
101240, 1,  1,"R",795,"R",576
101240,13, 13,"R",5,"R",3
101240,58,999,"R",800,"R",579
101240,98, 98,"R",16,"A",
101240,99, 99,"R",816,"R",579
101277, 1,  1,"R",44,"R",19
101277,58,999,"R",44,"R",19
101277,99, 99,"R",44,"R",19
101286, 1,  1,"R",565,"R",344
101286, 8,  8,"R",1,"Z",0
101286,12, 12,"R",9,"R",3
101286,13, 13,"R",14,"R",5
101286,33, 33,"R",1,"Z",0
101286,47, 47,"R",2,"R",2
101286,58,999,"R",592,"R",354
101286,98, 98,"R",4,"A",
101286,99, 99,"R",596,"R",354
101295, 1,  1,"R",1264,"R",942
101295, 4,  4,"R",1,"R",1
101295,12, 12,"R",1,"R",1
101295,13, 13,"R",7,"R",7
101295,21, 21,"R",1,"R",1
101295,22, 22,"R",1,"R",1
101295,28, 28,"R",1,"R",1
101295,47, 47,"R",5,"R",3
101295,48, 48,"R",1,"R",1
101295,49, 49,"R",1,"R",1
101295,55, 55,"R",1,"R",1
101295,58,999,"R",1284,"R",960
101295,90, 90,"R",1,"R",1
101295,99, 99,"R",1285,"R",961
101301, 1,  1,"R",225,"R",187
101301,12, 12,"R",2,"R",1
101301,13, 13,"R",1,"R",0
101301,24, 24,"R",1,"R",0
101301,58,999,"R",229,"R",188
101301,98, 98,"R",6,"A",
101301,99, 99,"R",235,"R",188
101365, 1,  1,"R",91,"R",20
101365,13, 13,"R",11,"R",3
101365,58,999,"R",102,"R",23
101365,99, 99,"R",102,"R",23
101435, 1,  1,"R",152,"R",151
101435, 4,  4,"R",1,"R",1
101435, 5,  5,"R",1,"R",1
101435, 6,  6,"R",1,"R",1
101435,12, 12,"R",31,"R",31
101435,13, 13,"R",20,"R",20
101435,22, 22,"R",1,"R",1
101435,29, 29,"R",1,"R",1
101435,37, 37,"R",1,"R",1
101435,39, 39,"R",2,"R",2
101435,45, 45,"R",2,"R",2
101435,47, 47,"R",2,"R",2
101435,48, 48,"R",3,"R",3
101435,51, 51,"R",1,"R",1
101435,58,999,"R",219,"R",218
101435,99, 99,"R",219,"R",218
101453, 1,  1,"R",1,"R",1
101453,21, 21,"R",1,"R",1
101453,58,999,"R",2,"R",2
101453,99, 99,"R",2,"R",2
101462, 1,  1,"R",93,"R",45
101462,17, 17,"R",2,"R",1
101462,47, 47,"R",3,"R",1
101462,57, 57,"R",1,"Z",0
101462,58,999,"R",99,"R",47
101462,98, 98,"R",2,"A",
101462,99, 99,"R",101,"R",47
101471, 1,  1,"R",125,"R",5
101471,58,999,"R",125,"R",5
101471,98, 98,"R",7,"A",
101471,99, 99,"R",132,"R",5
101480, 1,  1,"R",1058,"R",962
101480, 5,  5,"R",1,"R",1
101480, 6,  6,"R",1,"R",1
101480, 8,  8,"R",1,"R",1
101480,12, 12,"R",4,"R",3
101480,13, 13,"R",203,"R",188
101480,17, 17,"R",3,"R",2
101480,18, 18,"R",2,"R",2
101480,21, 21,"R",2,"R",1
101480,24, 24,"R",1,"R",1
101480,28, 28,"R",4,"R",3
101480,29, 29,"R",1,"R",1
101480,32, 32,"R",1,"R",1
101480,34, 34,"R",1,"R",1
101480,39, 39,"R",3,"R",3
101480,40, 40,"R",1,"R",1
101480,42, 42,"R",2,"R",2
101480,45, 45,"R",1,"R",1
101480,47, 47,"R",12,"R",12
101480,48, 48,"R",2,"R",1
101480,51, 51,"R",2,"R",1
101480,55, 55,"R",1,"R",1
101480,58,999,"R",1307,"R",1190
101480,98, 98,"R",6,"A",
101480,99, 99,"R",1313,"R",1190
101505, 1,  1,"R",1441,"R",1051
101505, 6,  6,"R",1,"R",0
101505,12, 12,"R",2,"R",1
101505,13, 13,"R",4,"R",2
101505,20, 20,"R",1,"R",1
101505,22, 22,"R",1,"R",0
101505,28, 28,"R",3,"R",0
101505,37, 37,"R",2,"R",1
101505,40, 40,"R",1,"R",1
101505,47, 47,"R",1,"R",0
101505,48, 48,"R",2,"R",1
101505,51, 51,"R",2,"R",1
101505,58,999,"R",1461,"R",1059
101505,98, 98,"R",32,"A",
101505,99, 99,"R",1493,"R",1059
101514, 1,  1,"R",1426,"R",1128
101514, 8,  8,"R",1,"R",1
101514,13, 13,"R",4,"R",4
101514,17, 17,"R",2,"R",2
101514,21, 21,"R",1,"R",0
101514,25, 25,"R",1,"R",1
101514,26, 26,"R",1,"R",1
101514,29, 29,"R",1,"R",1
101514,47, 47,"R",19,"R",11
101514,48, 48,"R",2,"R",2
101514,51, 51,"R",1,"R",1
101514,58,999,"R",1459,"R",1152
101514,98, 98,"R",28,"A",
101514,99, 99,"R",1487,"R",1152
101541, 1,  1,"R",61,"R",60
101541, 8,  8,"R",1,"R",1
101541,12, 12,"R",1,"R",1
101541,21, 21,"R",1,"R",1
101541,22, 22,"R",1,"R",1
101541,28, 28,"R",5,"R",5
101541,47, 47,"R",2,"R",2
101541,58,999,"R",72,"R",71
101541,99, 99,"R",72,"R",71
101569, 1,  1,"R",673,"R",542
101569, 8,  8,"R",1,"Z",0
101569,12, 12,"R",1,"R",1
101569,13, 13,"R",4,"R",4
101569,22, 22,"R",1,"R",1
101569,28, 28,"R",1,"R",1
101569,39, 39,"R",2,"R",2
101569,41, 41,"R",1,"Z",0
101569,47, 47,"R",2,"R",2
101569,58,999,"R",686,"R",553
101569,98, 98,"R",4,"A",
101569,99, 99,"R",690,"R",553
101587, 1,  1,"R",216,"R",189
101587,12, 12,"R",8,"R",8
101587,13, 13,"R",5,"R",5
101587,17, 17,"R",1,"R",1
101587,21, 21,"R",1,"R",0
101587,22, 22,"R",4,"R",4
101587,28, 28,"R",10,"R",7
101587,32, 32,"R",1,"R",1
101587,47, 47,"R",2,"R",2
101587,48, 48,"R",4,"R",3
101587,58,999,"R",252,"R",220
101587,90, 90,"R",2,"R",0
101587,99, 99,"R",254,"R",220
101602, 1,  1,"R",305,"R",271
101602,12, 12,"R",7,"R",4
101602,45, 45,"R",1,"R",1
101602,58,999,"R",313,"R",276
101602,99, 99,"R",313,"R",276
101648, 1,  1,"R",94,"R",94
101648, 5,  5,"R",5,"R",5
101648, 6,  6,"R",9,"R",9
101648, 8,  8,"R",1,"R",1
101648, 9,  9,"R",3,"R",3
101648,12, 12,"R",24,"R",24
101648,13, 13,"R",11,"R",11
101648,15, 15,"R",2,"R",2
101648,17, 17,"R",4,"R",4
101648,18, 18,"R",1,"R",1
101648,19, 19,"R",1,"R",1
101648,21, 21,"R",1,"R",1
101648,22, 22,"R",6,"R",6
101648,23, 23,"R",1,"R",1
101648,24, 24,"R",8,"R",8
101648,25, 25,"R",3,"R",3
101648,26, 26,"R",3,"R",3
101648,27, 27,"R",2,"R",2
101648,28, 28,"R",5,"R",5
101648,29, 29,"R",1,"R",1
101648,32, 32,"R",1,"R",1
101648,34, 34,"R",9,"R",9
101648,35, 35,"R",1,"R",1
101648,36, 36,"R",7,"R",7
101648,37, 37,"R",5,"R",5
101648,39, 39,"R",2,"R",2
101648,41, 41,"R",2,"R",2
101648,42, 42,"R",3,"R",3
101648,45, 45,"R",3,"R",3
101648,47, 47,"R",4,"R",4
101648,48, 48,"R",13,"R",13
101648,51, 51,"R",15,"R",15
101648,53, 53,"R",4,"R",4
101648,55, 55,"R",1,"R",1
101648,58,999,"R",255,"R",255
101648,99, 99,"R",255,"R",255
101675, 1,  1,"R",250,"R",239
101675, 4,  4,"R",1,"R",1
101675, 6,  6,"R",20,"R",20
101675,12, 12,"R",16,"R",16
101675,13, 13,"R",53,"R",49
101675,17, 17,"R",6,"R",6
101675,21, 21,"R",1,"R",1
101675,22, 22,"R",10,"R",10
101675,26, 26,"R",8,"R",7
101675,28, 28,"R",4,"R",4
101675,29, 29,"R",2,"R",2
101675,32, 32,"R",1,"R",1
101675,34, 34,"R",1,"R",1
101675,36, 36,"R",1,"R",0
101675,37, 37,"R",1,"R",1
101675,39, 39,"R",5,"R",3
101675,41, 41,"R",1,"R",1
101675,47, 47,"R",8,"R",7
101675,48, 48,"R",3,"R",3
101675,51, 51,"R",1,"R",1
101675,55, 55,"R",6,"R",6
101675,58,999,"R",399,"R",379
101675,99, 99,"R",399,"R",379
101693, 1,  1,"R",183,"R",181
101693, 5,  5,"R",2,"R",2
101693, 8,  8,"R",1,"R",1
101693,11, 11,"R",1,"R",1
101693,12, 12,"R",16,"R",16
101693,13, 13,"R",6,"R",6
101693,20, 20,"R",1,"R",1
101693,22, 22,"R",8,"R",8
101693,28, 28,"R",8,"R",8
101693,29, 29,"R",1,"R",1
